ID,Name,module,lesson,youtube_id,Length
1_71cvzw6e,Orientation Video (Kaltura),,,,
1_1ypmiimo,1-1 Examples (Kaltura),1,1,NAUcEM98xqs,14:04
1_7phrk6xu,1-1 Lecture (Kaltura),1,1,pKdi1Kz0eJU,11:00
1_ds814h4n,1-2 Lecture (Kaltura),1,2,xsyazM5lwK4,13:53
1_gu0fgt9d,1-2 Examples (Kaltura),1,2,_TLPcUW_qQ8,9:04
1_ylipk2ll,1-3 Lecture (Kaltura),1,3,NX-bJ-c33b8,29:05
1_mz1d43ce,1-4 Lecture (Kaltura),1,4,VYJARsGf8qQ,34:03
1_lshujm9e,1-5 Lecture (Kaltura),1,5,__Z4N0EpU-Y,19:12
1_qq5470ee,1-6 Lecture (Kaltura),1,6,P-YIZ466yPk,17:18
1_rbo238lw,1-6 TI-83 Examples (Kaltura),1,6,hrWBeBIrrYg,21:55
1_2s6bfueh,1-6 TI-84 Examples (Kaltura),1,6,9G9hvFLrY1c,23:22
1_9y5remqr,1-6 StatsCalc Examples (Kaltura),1,6,3fHxLe5aK10,15:42
1_9fqe4mn9,1-7 Lecture (Kaltura),1,7,WeIJBjsczvY,23:03
1_84jy4l29,1-7 TI-83 Examples (Kaltura),1,7,JsOEmLFIH-0,8:28
1_f7h69joq,1-7 TI-84 Examples (Kaltura),1,7,jNrOLYip0v0,9:06
1_3wlvajh7,1-7 StatsCalc Examples (Kaltura),1,7,siG5RocyPUc,7:27
1_lr1duuw3,1-8 Lecture (Kaltura),1,8,OzU0lJ5MdGc,17:56
1_7cwi7lrx,1-8 TI-83 Examples (Kaltura),1,8,_GWrrnIAoAQ,8:37
1_mcvvu47n,1-8 TI-84 Examples (Kaltura),1,8,yHAosxCW71s,8:20
1_z3hmaajf,1-8 StatsCalc Examples (Kaltura),1,8,c-ZPSGEM5ug,7:02
1_3y3kg2ln,1-9 Lecture (Kaltura),1,9,6B9B_uw7BSI,18:30
1_7lah4g23,1-9 TI-83 Examples (Kaltura),1,9,fQa4B9Elo08,16:11
1_2l1578eu,1-9 TI-84 Examples (Kaltura),1,9,-zX203cbwv4,14:19
1_16z54age,1-9 StatsCalc Examples (Kaltura),1,9,YorRBE8ggP0,15:47
1_gqfwz25c,1-10 Lecture (Kaltura),1,10,rtYg_KgFW-Q,24:02
1_bwgimcuw,1-10 Examples (Kaltura),1,10,GVTlhRDKATw,11:42
1_k2h6kljk,2-1 Lecture (Kaltura),2,1,1jtE3Te0q_g,32:14
1_fkdo1jk1,2-2 Lecture (Kaltura),2,2,XSXeKqn63pA,24:04
1_piek05pf,2-2 Examples (Kaltura),2,2,OsE361TWhzM,14:23
1_zl4i6ql1,2-3 Lecture (Kaltura),2,3,leKlQ6nypuI,23:45
1_928m2doa,2-3 Examples (Kaltura),2,3,nwD9stYthRg,15:28
1_da7d6d9q,2-4 Lecture (Kaltura),2,4,lSzqbpxnlZo,23:23
1_3q59uywb,2-4 TI-83 Examples (Kaltura),2,4,3pEYiTkLx5s,14:02
1_e940azyh,2-4 TI-84 Examples (Kaltura),2,4,08FNeaBAF_E,16:16
1_bn9c3smj,2-4 StatsCalc Examples (Kaltura),2,4,8dl58z8iToU,15:10
1_957044i6,3-1 Lecture (Kaltura),3,1,d436VpBfvqg,25:47
1_2cpad3wz,3-1 Examples (Kaltura),3,1,5ui9QCnWJys,17:29
1_ofpm11i6,3-2 Lecture (Kaltura),3,2,FjpORA5nurY,26:00
1_2t0g5jwx,3-2 TI-83 Examples (Kaltura),3,2,ToPd1g4FQPQ,31:30
1_7gca56k0,3-2 TI-84 Examples (Kaltura),3,2,ZNCDNCTNeH8,36:38
1_36kclms2,3-2 StatsCalc Examples (Kaltura),3,2,aQuGJ0LqIE4,22:57
1_11tnh1fx,3-3 Lecture (Kaltura),3,3,0iQc7O0y4XM,18:07
1_emsjm3rv,3-4 Lecture (Kaltura),3,4,IsTxAgB5hWI,35:38
1_a35gcc5q,3-4 TI-83 Examples (Kaltura),3,4,zxfa_oQdmpQ,27:29
1_0yr7b3dm,3-4 TI-84 Examples (Kaltura),3,4,e9sSlLtLu3c,27:21
1_tqfcnauk,3-4 StatsCalc Examples (Kaltura),3,4,QHvCxnxzDDc,24:29
1_v6yp236o,3-5 Lecture (Kaltura),3,5,wSyYVdjxi3Q,26:21
1_msxdy37s,3-5 TI-83 Examples (Kaltura),3,5,CjSK3qYw58A,13:54
1_3vxm4w2r,3-5 TI-84 Examples (Kaltura),3,5,YJceXzztOR8,12:36
1_z95je9ee,3-5 StatsCalc Examples (Kaltura),3,5,qtUAiY6ghZI,11:24
